username,date,tweet,link
lroisdi,2022-12-03,@VIVAcoid Tanda² mau pemilu kayaknya😂,https://twitter.com/LRoisdi/status/1598971664435679232
kpukabpasuruan,2022-12-03,"#temanpemilih- TINGKATKAN LAYANAN PEMILU 2024, KPU GELAR KONSOLIDASI NASIONAL  Baca selengkapnya di:  https://t.co/Ofq4FIfsDx  #kpukabupatenpasuruan #kpumelayani #pemiluserentak2024  https://t.co/FR7qGz6KJQ",https://twitter.com/KPUKabpasuruan/status/1598971510450188290
pemiludamai2024,2022-12-03,Anies pemecah belah urang Minang  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/vUSuRczdHV,https://twitter.com/PemiluDamai2024/status/1598971420847255553
pemiludamai2024,2022-12-03,Tolak Anies di Sumbar  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/QtuyOQ7KmK,https://twitter.com/PemiluDamai2024/status/1598971343923728386
pemiludamai2024,2022-12-03,Tolak Anies di Ranah Minang  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/Z7AJfq1KGP,https://twitter.com/PemiluDamai2024/status/1598971270456299520
pemiludamai2024,2022-12-03,Anies penghianat bangsa  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/AesHoo4FrF,https://twitter.com/PemiluDamai2024/status/1598971175958638592
smartizen_,2022-12-03,Adian Napitupulu: Rakyat Bukan Objek Jual Beli Suara Saat Pemilu  https://t.co/41UBoskx71,https://twitter.com/smartizen_/status/1598971103221014528
muhammadmumu113,2022-12-03,"Kalau mau bilang akhiri, bilang mengakhiri konflik suporter, itu baru bener, masa lo pengen benturin sama Pemilu 😡😡",https://twitter.com/MuhammadMumu113/status/1598971047587741696
bearincar,2022-12-03,"@retsigamaton Btw ini ga cuma himpunan ko mar, sampe level nyalon kepala daerah juga mesti gini, ini juga buat cegah timses jadi panitia pemilu  Emang kurang maen aja sendernya 🤣",https://twitter.com/bearincar/status/1598970511333081088
gg_tonni,2022-12-03,@mardigu024 Burung Murai Burung Kutilang Bersiul merdu setiap pagi Sudah kalah berulang - ulang Setiap Pemilu kembali lagi,https://twitter.com/gg_tonni/status/1598970418194309120
ahmadwalikrom,2022-12-03,@mardigu024 Pergi kepasar beli jambu biji Jambu dibelah menjadi lima Pemilu datang banyak janji Dapat kursi lupa janjinya,https://twitter.com/AhmadWalIkrom/status/1598970313328701440
zjusniati,2022-12-03,"Presiden Jokowi dalam beberapa kesempatan, baik secara implisit maupun eksplisit memberikan dukungan kepada Menteri Pertahanan, Prabowo Subianto pada Pemilihan Umum atau Pemilu 2024. Mending Prabowo  https://t.co/8ZRGVnertt dekade08",https://twitter.com/ZJusniati/status/1598970275584172033
